Player ID,Name,Price,Season,25,50,75,100
CD_I1017314,Daisy D'Arcy,82700,-100,-4900,-1200,2600,6400
CD_I1017322,Wallis Randell,54300,200,-1700,2100,5800,9600
CD_I1019849,Claire Ransom,28700,0,800,4600,8400,12100
CD_I1021456,Lucy Single,95400,100,-6000,-2200,1500,5300
CD_I1021460,Giselle Davies,33000,0,300,4100,7900,11700
CD_I1022192,Meara Girvan,58300,-1300,-3600,200,3900,7700
CD_I1022695,Jasmyn Smith,54400,0,-1900,1900,5700,9500
CD_I1022701,Alana Gee,51800,-2400,-4000,-200,3600,7400
CD_I1024535,Darcie Davies,40400,2000,1600,5400,9100,12900
CD_I1024553,Kaylee Kimber,28700,0,800,4600,8400,12100
CD_I1025163,Jacqueline Dupuy,98300,-2100,-8500,-4700,-900,2800
CD_I1026001,Cara McCrossan,37800,-600,-800,3000,6800,10600
CD_I1029613,Georgia Clayden,60100,1700,-700,3000,6800,10600
CD_I1033165,Niamh McLaughlin,49900,3300,1900,5700,9500,13200
CD_I1004400,Sarah D'Arcy,47900,-2500,-3700,0,3800,7600
CD_I1005357,Meagan Kiely,54900,-2900,-4800,-1000,2700,6500
CD_I1005865,Jess Hosking,54000,-4900,-6700,-2900,900,4600
CD_I1006666,Sarah Hosking,79100,-700,-5200,-1400,2400,6200
CD_I1009856,Grace Egan,115500,5100,-3200,600,4400,8200
CD_I1009862,Courtney Jones,42900,-3700,-4400,-700,3100,6900
CD_I1009869,Lauren Caruso,28700,-1700,-900,2900,6700,10500
CD_I1010104,Monique Conti,153300,3800,-8300,-4600,-800,3000
CD_I1010237,Molly Eastman,45600,-4000,-5000,-1200,2500,6300
CD_I1010688,Maddie Shevlin,60500,2200,-300,3500,7200,11000
CD_I1012668,Caitlin Greiser,60000,-3700,-6100,-2400,1400,5200
CD_I1012692,Kate Dempsey,108700,-1000,-8500,-4800,-1000,2800
CD_I1012700,Beth Lynch,58600,5500,3100,6900,10700,14500
CD_I1012719,Meg Macdonald,62200,-2800,-5500,-1700,2100,5900
CD_I1012967,Stephanie Williams,28700,0,800,4600,8400,12100
CD_I1014375,Ellie McKenzie,98600,-800,-7300,-3500,200,4000
CD_I1014781,Emelia Yassir,51700,-1700,-3300,500,4300,8000
CD_I1014882,Laura McClelland,49800,-500,-1900,1900,5700,9500
CD_I1015056,Amelia Peck,28700,0,800,4600,8400,12100
CD_I1015063,Stella Reid,48600,-600,-1900,1900,5700,9500
CD_I1016023,Jemima Woods,39700,-2900,-3300,500,4300,8000
CD_I1016865,Poppy Kelly,58200,600,-1700,2100,5800,9600
CD_I1017023,Rebecca Miller,53000,300,-1400,2400,6100,9900
CD_I1017025,Gabrielle Seymour,95900,-5700,-11900,-8100,-4300,-600
CD_I1018403,Eilish Sheerin,97800,700,-5800,-2000,1800,5600
CD_I1019412,Jessica Bates,28700,0,800,4600,8400,12100
