"member_id","round_id","teamValue","inTotal","outTotal","tradesTotal","CumTrades","remaining","cashcheck"
72807,1,1376000,1376000,0,-1376000,-1376000,12400,12400
72808,1,1387200,1387200,0,-1387200,-1387200,1200,1200
72810,1,1387900,1387900,0,-1387900,-1387900,500,500
72811,1,1388000,1388000,0,-1388000,-1388000,400,400
72814,1,1384300,1384300,0,-1384300,-1384300,4100,4100
72816,1,1388100,1388100,0,-1388100,-1388100,300,300
72817,1,1367200,1367200,0,-1367200,-1367200,21200,21200
72819,1,1386700,1386700,0,-1386700,-1386700,1700,1700
72820,1,1382900,1382900,0,-1382900,-1382900,5500,5500
72824,1,1362400,1362400,0,-1362400,-1362400,26000,26000
72825,1,1385100,1385100,0,-1385100,-1385100,3300,3300
72826,1,1293400,1293400,0,-1293400,-1293400,95000,95000
72828,1,1367600,1367600,0,-1367600,-1367600,20800,20800
72829,1,1372400,1372400,0,-1372400,-1372400,16000,16000
72831,1,1266200,1266200,0,-1266200,-1266200,122200,122200
72832,1,1373800,1373800,0,-1373800,-1373800,14600,14600
72833,1,1374700,1374700,0,-1374700,-1374700,13700,13700
72835,1,1363900,1363900,0,-1363900,-1363900,24500,24500
72837,1,1377700,1377700,0,-1377700,-1377700,10700,10700
72838,1,1383200,1383200,0,-1383200,-1383200,5200,5200
72839,1,1370900,1370900,0,-1370900,-1370900,17500,17500
72840,1,1385700,1385700,0,-1385700,-1385700,2700,2700
72841,1,1388200,1388200,0,-1388200,-1388200,200,200
72842,1,1386500,1386500,0,-1386500,-1386500,1900,1900
72843,1,1386600,1386600,0,-1386600,-1386600,1800,1800
72844,1,1383000,1383000,0,-1383000,-1383000,5400,5400
72846,1,1370500,1370500,0,-1370500,-1370500,17900,17900
72847,1,1387900,1387900,0,-1387900,-1387900,500,500
72848,1,1370200,1370200,0,-1370200,-1370200,18200,18200
72850,1,1376100,1376100,0,-1376100,-1376100,12300,12300
72852,1,1388400,1388400,0,-1388400,-1388400,0,0
72854,1,1377200,1377200,0,-1377200,-1377200,11200,11200
72855,1,1374400,1374400,0,-1374400,-1374400,14000,14000
72857,1,1387600,1387600,0,-1387600,-1387600,800,800
72859,1,1374000,1374000,0,-1374000,-1374000,14400,14400
72861,1,1375600,1375600,0,-1375600,-1375600,12800,12800
72862,1,1386300,1386300,0,-1386300,-1386300,2100,2100
72869,1,1378900,1378900,0,-1378900,-1378900,9500,9500
72872,1,1383400,1383400,0,-1383400,-1383400,5000,5000
72873,1,1377900,1377900,0,-1377900,-1377900,10500,10500
72875,1,1365900,1365900,0,-1365900,-1365900,22500,22500
72878,1,1352800,1352800,0,-1352800,-1352800,35600,35600
72879,1,1384500,1384500,0,-1384500,-1384500,3900,3900
72880,1,1365400,1365400,0,-1365400,-1365400,23000,23000
72881,1,1388200,1388200,0,-1388200,-1388200,200,200
72882,1,1375100,1375100,0,-1375100,-1375100,13300,13300
